id,type,year,citation_html,doi,arxiv,extra_link,extra_label,has_abstract
Berthe2026,journal,2026,"V. Berthé, H. Goulet-Ouellet, C.-F. Nyberg Brodda, D. Perrin and K. Petersen. <a href=""https://doi.org/10.1017/etds.2026.10318"">Density of group languages in shift spaces</a> <i>Ergodic Theory and Dynamical Systems</i> (2026).",10.1017/etds.2026.10318,2403.17892,,,true
Gheeraert2025a,journal,2025,"F. Gheeraert, H. Goulet-Ouellet, J. Leroy, P. Stas. <a href=""https://doi.org/10.1016/j.ejc.2025.104224"">Stability properties for subgroups generated by return words</a>. <i>European Journal of Combinatorics</i>, vol. 130, article no. 104224 (2025).",10.1016/j.ejc.2025.104224,2410.12534,,,true
Gheeraert2025,journal,2025,"F. Gheeraert, H. Goulet-Ouellet, J. Leroy, P. Stas. <a href=""https://doi.org/10.37236/13326"">Algebraic characterization of dendricity</a>. <i>Electronic Journal of Combinatorics</i>, vol. 32, no. 1, article no. P1.51 (2025).",10.37236/13326,2406.15075,,,true
Berthe2024,journal,2024,"V. Berthé, H. Goulet-Ouellet. <a href=""https://doi.org/10.1007/s00224-024-10190-y"">Obstructions to return preservation for episturmian morphisms</a>. <i>Theory of Computing Systems</i>, vol. 68, pp. 1512–1536 (2024).",10.1007/s00224-024-10190-y,2404.08072,,,true
Almeida2023,journal,2023,"J. Almeida, H. Goulet-Ouellet. <a href=""https://doi.org/10.1007/s00012-023-00804-w"">What makes a Stone topological algebra profinite</a>. <i>Algebra Universalis</i>, vol. 84, no. 1, article no. 6 (2023).",10.1007/s00012-023-00804-w,2109.07286,,,true
GouletOuellet2022,journal,2022,"H. Goulet-Ouellet. <a href=""https://doi.org/10.1016/j.tcs.2022.05.001"">Suffix-connected languages</a>. Theoretical Computer Science, vol 923, pp. 126-143 (2022).",10.1016/j.tcs.2022.05.001,2106.00452,,,true
GouletOuellet2022b,journal,2022,"H. Goulet-Ouellet. <a href=""https://doi.org/10.1016/j.jalgebra.2022.05.021"">Pronilpotent quotients associated with primitive substitutions</a>. Journal of Algebra, vol. 606, pp. 1101-1123 (2022).",10.1016/j.jalgebra.2022.05.021,2204.05706,,,true
GouletOuellet2022c,journal,2022,"H. Goulet-Ouellet. <a href=""https://doi.org/10.1142/S0218196722500473"">Freeness of Schützenberger groups of primitive substitutions</a>. <i>International Journal of Algebra and Computations</i>, vol. 32, no. 6, pp. 1101–1123 (2022).",10.1142/S0218196722500473,2109.11957,,,true
Berthe2025,proceedings,2025,"V. Berthé, H. Goulet-Ouellet and D. Perrin. <a href=""https://doi.org/10.4230/LIPIcs.ICALP.2025.143"">Density of rational languages under shift invariant measures</a>. {{in}}: <i>Proceedings of the 52nd International Colloquium on Automata, Languages, and Programming (ICALP 2025)</i>, article no. 143. {{ed}} K. Censor-Hillel, F. Grandoni, J. Ouaknine and G. Puppis.",10.4230/LIPIcs.ICALP.2025.143,,,,true
GouletOuellet2025,proceedings,2025,"H. Goulet-Ouellet, K. Klouda and Š. Starosta. <a href=""https://doi.org/10.1007/978-3-031-97548-6_14"">Circularity and repetitiveness in non-injective DF0L systems</a>. {{in}}: <i>Combinatorics on words, Words 2025</i>, pp. 153–165.",10.1007/978-3-031-97548-6_14,2504.15828,,,true
Berthe2023,proceedings,2023,"V. Berthé and H. Goulet-Ouellet. <a href=""https://doi.org/10.1007/978-3-031-33180-0_6"">On substitutions preserving their return sets</a>. {{in}}: <i>Combinatorics on words, Words 2023</i>. {{ed}} A. Frid and R. Mercas. Lecture notes in Computer Science, vol. 13899 (2023).",10.1007/978-3-031-33180-0_6,,https://hal.science/hal-04295645,hal-04311379,true
pre/Berthe2026,preprint,2026,"V. Berthé, H. Goulet-Ouellet, T. Karimov, D. Perrin and M. Vahanwala. <a href=""https://doi.org/10.48550/arXiv.2606.30013"">Preservation Theorems for Transducer Outputs</a> (2026).",10.48550/arXiv.2606.30013,2606.30013,,,true
pre/Almeida2025a,preprint,2025,"J. Almeida, A. Costa and H. Goulet-Ouellet. <a href=""https://doi.org/10.48550/arXiv.2509.00991"">Profinite approach to S-adic shift spaces I: Saturating directive sequences</a> (2025).",10.48550/arXiv.2509.00991,2509.00991,,,true
pre/Almeida2025,preprint,2025,"J. Almeida, A. Costa, H. Goulet-Ouellet. <a href=""https://doi.org/10.48550/arXiv.2507.08580"">Open multiplication in relatively free profinite semigroupoids</a> (2025).",10.48550/arXiv.2507.08580,2507.08580,,,true
thesis,thesis,2022,"H. Goulet-Ouellet. <a href=""https://hdl.handle.net/10316/114196"" download>Schützenberger groups of minimal shift spaces</a>. University of Coimbra, PhD thesis (2022).",,,,,true
